Column1;State;Year;Rape;Kidnap and assault;Dowry deaths;Assault on women;Assault on modesty;Domestic violence;Women trafficking;Population;;;;;;;;;;;
74;Chhattisgarh;2003;898;149;79;1481;105;601;0;21776200;;;;;;;;;;;
75;Goa;2003;31;13;2;19;7;24;0;1370200;;;;;;;;;;;
76;Gujarat;2003;236;859;54;722;92;3684;0;52624800;;;;;;;;;;;
77;Haryana;2003;353;271;222;344;1302;1618;0;21986200;;;;;;;;;;;
78;Himachal Pradesh;2003;126;96;6;250;18;221;0;6235400;;;;;;;;;;;
79;Jammu & Kashmir;2003;211;615;10;875;376;71;0;10623400;;;;;;;;;;;
80;Jharkhand;2003;712;262;262;424;2;559;0;28154400;;;;;;;;;;;
81;Karnataka;2003;321;244;194;1585;84;1704;0;54499800;;;;;;;;;;;
82;Kerala;2003;394;102;33;1947;68;2930;0;32154000;;;;;;;;;;;
83;Madhya Pradesh;2003;2738;608;648;6848;705;2938;0;62803800;;;;;;;;;;;
84;Maharashtra;2003;1268;626;368;2661;682;5452;0;99978000;;;;;;;;;;;
85;Manipur;2003;18;71;0;44;0;4;0;2406400;;;;;;;;;;;
86;Meghalaya;2003;40;10;0;13;1;4;0;2448600;;;;;;;;;;;
87;Mizoram;2003;54;2;0;88;0;3;0;930600;;;;;;;;;;;
88;Nagaland;2003;14;3;0;4;2;0;1;1987800;;;;;;;;;;;
89;Odisha;2003;725;373;279;1669;188;1289;0;37838800;;;;;;;;;;;
90;Punjab;2003;380;295;110;346;199;987;0;25035800;;;;;;;;;;;
91;Rajasthan;2003;1050;1750;389;2715;33;5733;1;58915200;;;;;;;;;;;
92;Sikkim;2003;10;0;0;25;0;1;0;555000;;;;;;;;;;;
93;Tamil Nadu;2003;557;632;220;2022;881;1555;1;64354200;;;;;;;;;;;
94;Telangana;2003;;;;;;;;;;;;;;;;;;;
95;Tripura;2003;114;29;20;127;0;247;0;3294000;;;;;;;;;;;
96;Uttar Pradesh;2003;911;1499;1322;1098;4970;2626;0;172920800;;;;;;;;;;;
97;Uttarakhand;2003;107;134;93;136;98;317;0;8808400;;;;;;;;;;;
98;West Bengal;2003;1002;801;329;1186;71;4948;1;82396000;;;;;;;;;;;
99;Andaman & Nicobar;2003;2;2;0;9;2;7;0;361000;;;;;;;;;;;
100;Chandigarh;2003;18;28;1;11;4;93;0;931800;;;;;;;;;;;
101;Dadra and Nagar Haveli and Daman and Diu;2003;6;5;1;7;0;2;0;244800;;;;;;;;;;;
102;Delhi;2003;490;797;130;489;105;1211;0;14438400;;;;;;;;;;;
103;Lakshadweep;2003;2;0;0;1;0;1;0;61600;;;;;;;;;;;
104;Puducherry;2003;2;13;1;56;27;4;0;1028800;;;;;;;;;;;
105;Andhra Pradesh;2004;1016;1030;512;3817;2310;8388;2;76771543;;;;;;;;;;;
106;Arunachal Pradesh;2004;42;41;0;61;0;4;0;1183800;;;;;;;;;;;
107;Assam;2004;1171;1552;74;883;11;1945;0;28021000;;;;;;;;;;;
108;Bihar;2004;1390;997;1029;704;13;2679;35;89302270;;;;;;;;;;;
109;Chhattisgarh;2004;969;174;71;1661;131;741;0;22247300;;;;;;;;;;;
110;Goa;2004;37;10;2;23;15;17;0;1381300;;;;;;;;;;;
111;Gujarat;2004;339;905;58;757;164;3955;0;53601700;;;;;;;;;;;
112;Haryana;2004;386;292;251;403;850;2026;0;22406800;;;;;;;;;;;
113;Himachal Pradesh;2004;153;99;8;284;16;252;0;6314100;;;;;;;;;;;
114;Jammu & Kashmir;2004;218;632;9;990;264;82;0;10863100;;;;;;;;;;;
115;Jharkhand;2004;797;178;275;411;3;588;36;28758600;;;;;;;;;;;
116;Karnataka;2004;291;286;259;1435;57;1588;0;55324200;;;;;;;;;;;
117;Kerala;2004;480;142;31;2260;133;3222;0;32310500;;;;;;;;;;;
118;Madhya Pradesh;2004;2875;584;751;6690;804;3436;0;64031700;;;;;;;;;;;
119;Maharashtra;2004;1388;787;314;2831;862;5646;0;101527500;;;;;;;;;;;
120;Manipur;2004;31;71;0;30;0;2;0;2462600;;;;;;;;;;;
121;Meghalaya;2004;54;18;2;34;0;5;0;2513400;;;;;;;;;;;
122;Mizoram;2004;20;0;0;66;0;0;0;951400;;;;;;;;;;;
123;Nagaland;2004;18;4;0;3;1;0;0;1986700;;;;;;;;;;;
124;Odisha;2004;770;423;319;1811;170;1192;0;38355700;;;;;;;;;;;
125;Punjab;2004;390;311;113;261;38;801;0;25374200;;;;;;;;;;;
126;Rajasthan;2004;1038;1881;379;2825;41;6781;1;60119300;;;;;;;;;;;
127;Sikkim;2004;3;4;0;40;0;1;0;562000;;;;;;;;;;;
128;Tamil Nadu;2004;618;692;225;1861;1081;1437;0;65328300;;;;;;;;;;;
129;Telangana;2004;;;;;;;;;;;;;;;;;;;
130;Tripura;2004;160;54;20;134;0;302;0;3341500;;;;;;;;;;;
131;Uttar Pradesh;2004;1397;2324;1708;1900;2682;4950;3;176282200;;;;;;;;;;;
132;Uttarakhand;2004;115;127;82;143;110;405;0;8968100;;;;;;;;;;;
133;West Bengal;2004;1475;1018;396;1566;64;6334;12;83506000;;;;;;;;;;;
134;Andaman & Nicobar;2004;10;3;0;6;3;5;0;363500;;;;;;;;;;;
