Column1;State;Year;Rape;Kidnap and assault;Dowry deaths;Assault on women;Assault on modesty;Domestic violence;Women trafficking;Population;;;;;;;;;;;
321;Gujarat;2010;408;1290;19;668;110;5600;0;59463100;;;;;;;;;;;
322;Haryana;2010;720;714;284;476;580;2720;0;24930400;;;;;;;;;;;
323;Himachal Pradesh;2010;160;162;2;350;78;275;0;6786300;;;;;;;;;;;
324;Jammu & Kashmir;2010;245;840;9;1038;262;211;0;12301300;;;;;;;;;;;
325;Jharkhand;2010;773;696;276;245;16;650;8;32383800;;;;;;;;;;;
326;Karnataka;2010;586;586;248;2544;83;3441;0;60270600;;;;;;;;;;;
327;Kerala;2010;634;184;22;2936;537;4797;0;33249500;;;;;;;;;;;
328;Madhya Pradesh;2010;3135;1030;892;6646;918;3756;5;71399100;;;;;;;;;;;
329;Maharashtra;2010;1599;1124;393;3661;1180;7434;0;110824500;;;;;;;;;;;
330;Manipur;2010;34;107;0;31;0;18;0;2799800;;;;;;;;;;;
331;Meghalaya;2010;149;37;0;48;0;24;0;2902200;;;;;;;;;;;
332;Mizoram;2010;92;0;0;75;0;3;0;1076200;;;;;;;;;;;
333;Nagaland;2010;16;6;0;13;3;1;0;1980100;;;;;;;;;;;
334;Odisha;2010;1025;912;388;2905;232;2067;5;41457100;;;;;;;;;;;
335;Punjab;2010;546;576;121;349;38;1163;0;27404600;;;;;;;;;;;
336;Rajasthan;2010;1571;2477;462;2339;23;11145;0;67343900;;;;;;;;;;;
337;Sikkim;2010;18;6;1;11;0;3;0;604000;;;;;;;;;;;
338;Tamil Nadu;2010;686;1464;165;1405;638;1570;0;71172900;;;;;;;;;;;
339;Telangana;2010;;;;;;;;;;;;;;;;;;;
340;Tripura;2010;238;91;25;376;9;937;0;3626500;;;;;;;;;;;
341;Uttar Pradesh;2010;1563;5468;2217;2793;11;7978;0;196450600;;;;;;;;;;;
342;Uttarakhand;2010;121;249;75;125;165;334;0;9926300;;;;;;;;;;;
343;West Bengal;2010;2311;2764;507;2465;163;17796;8;90166000;;;;;;;;;;;
344;Andaman & Nicobar;2010;24;8;0;31;10;9;0;378500;;;;;;;;;;;
345;Chandigarh;2010;31;28;5;29;4;41;0;1039600;;;;;;;;;;;
346;Dadra and Nagar Haveli and Daman and Diu;2010;4;12;0;13;2;6;0;331600;;;;;;;;;;;
347;Delhi;2010;507;1740;143;601;80;1404;0;16494300;;;;;;;;;;;
348;Lakshadweep;2010;0;0;0;0;0;0;0;63700;;;;;;;;;;;
349;Puducherry;2010;3;14;1;46;22;7;0;1220600;;;;;;;;;;;
350;Andhra Pradesh;2011;1442;1612;599;4849;3658;13376;497;49577000;;;;;;;;;;;
351;Arunachal Pradesh;2011;42;60;0;51;0;18;0;1384000;;;;;;;;;;;
352;Assam;2011;1700;3192;121;1193;8;5246;21;31206000;;;;;;;;;;;
353;Bihar;2011;934;3050;1413;790;11;2607;23;104099000;;;;;;;;;;;
354;Chhattisgarh;2011;1053;365;104;1654;174;834;15;25545000;;;;;;;;;;;
355;Goa;2011;29;17;1;29;12;18;18;1459000;;;;;;;;;;;
356;Gujarat;2011;439;1442;30;685;93;6052;46;60440000;;;;;;;;;;;
357;Haryana;2011;733;733;255;474;490;2740;57;25351000;;;;;;;;;;;
358;Himachal Pradesh;2011;168;191;4;331;62;239;2;6865000;;;;;;;;;;;
359;Jammu & Kashmir;2011;277;1023;11;1194;350;286;1;12541000;;;;;;;;;;;
360;Jharkhand;2011;784;660;282;317;7;659;15;32988000;;;;;;;;;;;
361;Karnataka;2011;636;715;267;2608;81;3712;351;61095000;;;;;;;;;;;
362;Kerala;2011;1132;221;15;3756;573;5377;197;33406000;;;;;;;;;;;
363;Madhya Pradesh;2011;3406;1088;811;6665;762;3732;24;72627000;;;;;;;;;;;
364;Maharashtra;2011;1701;1252;339;3794;1071;7136;390;112374000;;;;;;;;;;;
365;Manipur;2011;53;116;1;38;0;39;0;2856000;;;;;;;;;;;
366;Meghalaya;2011;130;37;1;74;1;21;2;2967000;;;;;;;;;;;
367;Mizoram;2011;77;0;0;72;1;9;8;1097000;;;;;;;;;;;
368;Nagaland;2011;23;3;0;9;0;1;2;1979000;;;;;;;;;;;
369;Odisha;2011;1112;1008;465;3207;235;2320;23;41974000;;;;;;;;;;;
370;Punjab;2011;479;517;143;282;31;1136;50;27743000;;;;;;;;;;;
371;Rajasthan;2011;1800;2713;514;2447;9;12218;81;68548000;;;;;;;;;;;
372;Sikkim;2011;16;10;0;24;0;4;1;611000;;;;;;;;;;;
373;Tamil Nadu;2011;677;1743;152;1467;464;1812;420;72147000;;;;;;;;;;;
374;Telangana;2011;0;0;0;0;0;0;0;35003674;;;;;;;;;;;
375;Tripura;2011;205;116;30;294;9;702;2;3674000;;;;;;;;;;;
376;Uttar Pradesh;2011;2042;7525;2322;3455;3;7121;43;199812000;;;;;;;;;;;
377;Uttarakhand;2011;129;283;83;116;72;307;3;10086000;;;;;;;;;;;
378;West Bengal;2011;2363;3711;510;2363;200;19772;96;91276000;;;;;;;;;;;
379;Andaman & Nicobar;2011;13;12;0;15;3;5;3;381000;;;;;;;;;;;
380;Chandigarh;2011;27;46;2;21;12;46;1;1055000;;;;;;;;;;;
381;Dadra and Nagar Haveli and Daman and Diu;2011;5;10;0;2;0;5;7;344000;;;;;;;;;;;
382;Delhi;2011;572;2085;142;0;162;1575;33;16788000;;;;;;;;;;;
383;Lakshadweep;2011;0;0;0;0;0;0;0;64000;;;;;;;;;;;
384;Puducherry;2011;7;9;1;35;16;10;3;1248000;;;;;;;;;;;
385;Andhra Pradesh;2012;1341;1403;504;4816;3714;13389;472;49764181;;;;;;;;;;;
386;Arunachal Pradesh;2012;46;58;1;67;2;26;1;1398900;;;;;;;;;;;
387;Assam;2012;1716;3360;140;1840;5;6407;30;31589700;;;;;;;;;;;
388;Bihar;2012;927;3789;1275;118;37;3686;35;105917210;;;;;;;;;;;
389;Chhattisgarh;2012;1034;350;81;1601;162;980;5;25939800;;;;;;;;;;;
390;Goa;2012;55;16;0;49;16;24;40;1469000;;;;;;;;;;;
391;Gujarat;2012;473;1527;21;745;93;6658;44;61374800;;;;;;;;;;;
392;Haryana;2012;668;900;258;525;434;3137;69;25764200;;;;;;;;;;;
393;Himachal Pradesh;2012;183;152;2;250;68;251;6;6917900;;;;;;;;;;;
394;Jammu & Kashmir;2012;303;1041;8;1322;347;301;3;12627700;;;;;;;;;;;
395;Jharkhand;2012;812;786;302;284;10;1261;12;33536300;;;;;;;;;;;
396;Karnataka;2012;621;1070;218;2978;100;3684;335;61670000;;;;;;;;;;;
397;Kerala;2012;1019;214;32;3735;498;5216;210;33614300;;;;;;;;;;;
398;Madhya Pradesh;2012;3425;1127;743;6655;774;3988;13;73815900;;;;;;;;;;;
399;Maharashtra;2012;1839;1140;329;3935;1294;7415;366;113580300;;;;;;;;;;;
400;Manipur;2012;63;133;0;49;1;43;15;2886900;;;;;;;;;;;
401;Meghalaya;2012;164;24;1;43;0;16;7;2999100;;;;;;;;;;;
402;Mizoram;2012;103;3;0;85;0;8;0;1108900;;;;;;;;;;;
403;Nagaland;2012;21;10;0;16;0;0;4;2000300;;;;;;;;;;;
404;Odisha;2012;1458;1364;525;4187;304;2638;24;42179900;;;;;;;;;;;
405;Punjab;2012;680;689;118;340;31;1293;86;28002600;;;;;;;;;;;
406;Rajasthan;2012;2049;2697;478;2352;18;13312;99;69621300;;;;;;;;;;;
407;Sikkim;2012;34;10;1;19;0;4;0;617600;;;;;;;;;;;
408;Tamil Nadu;2012;737;1693;110;1494;382;1965;500;72572500;;;;;;;;;;;
409;Telangana;2012;0;0;0;0;0;0;0;35275806,6;;;;;;;;;;;
410;Tripura;2012;229;114;37;314;7;858;0;3713700;;;;;;;;;;;
411;Uttar Pradesh;2012;1963;7910;2244;3247;8;7661;31;202921500;;;;;;;;;;;
412;Uttarakhand;2012;148;256;71;139;73;368;12;10217300;;;;;;;;;;;
413;West Bengal;2012;2046;4168;593;3345;556;19865;109;91960900;;;;;;;;;;;
414;Andaman & Nicobar;2012;12;7;2;10;4;5;2;381900;;;;;;;;;;;
415;Chandigarh;2012;27;66;5;45;25;73;0;1070300;;;;;;;;;;;
416;Dadra and Nagar Haveli and Daman and Diu;2012;8;9;0;2;0;3;5;356400;;;;;;;;;;;
417;Delhi;2012;706;2160;134;727;208;1985;24;17166300;;;;;;;;;;;
418;Lakshadweep;2012;0;0;0;1;0;1;0;64400;;;;;;;;;;;
419;Puducherry;2012;13;16;0;9;2;6;4;1280400;;;;;;;;;;;
420;Andhra Pradesh;2013;1635;1595;492;6930;4702;15084;489;49951362;;;;;;;;;;;
421;Arunachal Pradesh;2013;75;86;0;93;3;29;2;1413800;;;;;;;;;;;
422;Assam;2013;1937;4222;170;2409;14;8636;18;31973400;;;;;;;;;;;
423;Bihar;2013;1128;4419;1182;331;52;4533;64;107824520;;;;;;;;;;;
424;Chhattisgarh;2013;1380;1881;109;2261;180;1181;8;26334600;;;;;;;;;;;
425;Goa;2013;86;70;0;162;54;40;28;1479000;;;;;;;;;;;
426;Gujarat;2013;732;2230;29;1243;77;7812;76;62309600;;;;;;;;;;;
427;Haryana;2013;971;1957;263;1560;643;3617;63;26177400;;;;;;;;;;;
428;Himachal Pradesh;2013;250;290;0;493;111;328;4;6970800;;;;;;;;;;;
429;Jammu & Kashmir;2013;378;949;7;1389;354;428;1;12714400;;;;;;;;;;;
430;Jharkhand;2013;1204;926;307;524;18;2084;11;34084600;;;;;;;;;;;
431;Karnataka;2013;1030;1359;277;3913;137;3276;340;62245000;;;;;;;;;;;
432;Kerala;2013;1221;185;21;4362;404;4820;180;33822600;;;;;;;;;;;
433;Madhya Pradesh;2013;4335;2873;776;8252;736;4988;22;75004800;;;;;;;;;;;
434;Maharashtra;2013;3063;1874;320;8132;2632;8542;289;114786600;;;;;;;;;;;
435;Manipur;2013;72;125;0;59;0;29;0;2917800;;;;;;;;;;;
436;Meghalaya;2013;183;33;2;98;0;23;4;3031200;;;;;;;;;;;
437;Mizoram;2013;89;2;0;81;0;5;0;1120800;;;;;;;;;;;
438;Nagaland;2013;31;11;1;18;1;4;1;2021600;;;;;;;;;;;
439;Odisha;2013;1832;2067;395;4618;426;2792;27;42385800;;;;;;;;;;;
440;Punjab;2013;888;987;126;1045;67;1741;137;28262200;;;;;;;;;;;
441;Rajasthan;2013;3285;4047;453;4829;25;15094;74;70694600;;;;;;;;;;;
442;Sikkim;2013;43;16;0;29;0;5;0;624200;;;;;;;;;;;
443;Tamil Nadu;2013;923;1516;118;1271;313;2471;549;72998000;;;;;;;;;;;
444;Telangana;2013;0;0;0;0;0;0;0;35547939,2;;;;;;;;;;;
445;Tripura;2013;233;124;29;407;7;827;0;3753400;;;;;;;;;;;
446;Uttar Pradesh;2013;3050;9737;2335;7303;25;8781;37;206031000;;;;;;;;;;;
447;Uttarakhand;2013;228;633;43;295;72;435;13;10348600;;;;;;;;;;;
448;West Bengal;2013;1685;3830;481;4913;577;18116;104;92645800;;;;;;;;;;;
449;Andaman & Nicobar;2013;27;12;1;45;8;9;4;382800;;;;;;;;;;;
450;Chandigarh;2013;45;174;1;143;26;92;6;1085600;;;;;;;;;;;
451;Dadra and Nagar Haveli and Daman and Diu;2013;13;17;0;3;1;3;8;359064;;;;;;;;;;;
452;Delhi;2013;1636;3609;144;3515;916;3033;20;17544600;;;;;;;;;;;
453;Lakshadweep;2013;2;0;0;1;0;0;0;64800;;;;;;;;;;;
454;Puducherry;2013;17;25;1;12;8;8;0;1312800;;;;;;;;;;;
455;Andhra Pradesh;2014;961;721;468;4547;1072;6362;204;50138544;;;;;;;;;;;
456;Arunachal Pradesh;2014;83;91;0;121;21;42;0;1428700;;;;;;;;;;;
457;Assam;2014;1980;3895;92;3099;458;9626;29;32357100;;;;;;;;;;;
458;Bihar;2014;1127;4735;2203;572;271;4672;31;109731830;;;;;;;;;;;
459;Chhattisgarh;2014;1436;1393;8;2122;649;964;2;26729400;;;;;;;;;;;
460;Goa;2014;95;86;0;202;50;35;9;1489000;;;;;;;;;;;
461;Gujarat;2014;841;2187;53;1352;405;5991;45;63244400;;;;;;;;;;;
462;Haryana;2014;1174;1922;13;1688;599;3478;43;26590600;;;;;;;;;;;
463;Himachal Pradesh;2014;283;227;2;538;159;325;5;7023700;;;;;;;;;;;
464;Jammu & Kashmir;2014;331;813;1;1421;242;467;1;12801100;;;;;;;;;;;
465;Jharkhand;2014;1050;885;1538;440;114;1462;11;34632900;;;;;;;;;;;
466;Karnataka;2014;1324;1457;1730;5263;253;3025;388;62820000;;;;;;;;;;;
467;Kerala;2014;1347;143;3;4367;980;4919;91;34030900;;;;;;;;;;;
468;Madhya Pradesh;2014;5076;5688;113;9609;3163;6451;15;76193700;;;;;;;;;;;
469;Maharashtra;2014;3438;2457;39;10001;4052;7696;202;115992900;;;;;;;;;;;
470;Manipur;2014;75;121;0;98;5;41;0;2948700;;;;;;;;;;;
471;Meghalaya;2014;118;38;1;105;0;42;3;3063300;;;;;;;;;;;
472;Mizoram;2014;120;3;0;97;53;8;0;1132700;;;;;;;;;;;
473;Nagaland;2014;30;13;0;16;5;3;1;2042900;;;;;;;;;;;
474;Odisha;2014;1978;2436;646;5543;802;3114;32;42591700;;;;;;;;;;;
475;Punjab;2014;981;1176;5;1113;344;1681;63;28521800;;;;;;;;;;;
476;Rajasthan;2014;3759;4421;12;5999;727;15905;78;71767900;;;;;;;;;;;
477;Sikkim;2014;47;12;0;34;14;5;0;630800;;;;;;;;;;;
478;Tamil Nadu;2014;455;1502;292;1102;46;2103;471;73423500;;;;;;;;;;;
479;Telangana;2014;979;711;563;3188;620;6369;192;35820071,8;;;;;;;;;;;
480;Tripura;2014;239;102;1;492;82;702;0;3793100;;;;;;;;;;;
481;Uttar Pradesh;2014;3467;10626;2133;8605;4435;10471;37;209140500;;;;;;;;;;;
482;Uttarakhand;2014;270;275;104;343;22;301;19;10479900;;;;;;;;;;;
483;West Bengal;2014;1466;4976;1;5670;1045;23278;80;93330700;;;;;;;;;;;
484;Andaman & Nicobar;2014;32;17;0;41;18;14;1;383700;;;;;;;;;;;
485;Chandigarh;2014;59;133;2;87;31;141;0;1100900;;;;;;;;;;;
486;Dadra and Nagar Haveli and Daman and Diu;2014;7;8;0;5;3;7;8;361728;;;;;;;;;;;
487;Delhi;2014;2096;4034;13;4322;1186;3173;8;17922900;;;;;;;;;;;
488;Lakshadweep;2014;1;0;0;1;0;0;0;65200;;;;;;;;;;;
489;Puducherry;2014;10;7;14;32;12;4;1;1345200;;;;;;;;;;;
490;Andhra Pradesh;2015;1027;684;174;4616;1070;6121;204;50325725;;;;;;;;;;;
491;Arunachal Pradesh;2015;71;128;0;101;15;66;2;1443600;;;;;;;;;;;
492;Assam;2015;1733;5039;216;4293;499;11225;47;32740800;;;;;;;;;;;
493;Bihar;2015;1041;5158;1154;198;78;3792;21;111639140;;;;;;;;;;;
494;Chhattisgarh;2015;1560;1354;89;1868;507;620;4;27124200;;;;;;;;;;;
495;Goa;2015;86;70;0;150;58;19;3;1499000;;;;;;;;;;;
496;Gujarat;2015;503;1569;12;1164;536;4133;35;64179200;;;;;;;;;;;
497;Haryana;2015;1070;2336;243;1886;688;3525;44;27003800;;;;;;;;;;;
498;Himachal Pradesh;2015;244;239;2;434;99;226;6;7076600;;;;;;;;;;;
499;Jammu & Kashmir;2015;296;1071;6;1343;244;400;0;12887800;;;;;;;;;;;
500;Jharkhand;2015;1053;930;267;844;531;1654;3;35181200;;;;;;;;;;;
501;Karnataka;2015;589;1611;254;5112;535;2732;420;63395000;;;;;;;;;;;
502;Kerala;2015;1256;192;8;3987;1145;3668;135;34239200;;;;;;;;;;;
503;Madhya Pradesh;2015;4391;4547;664;8049;2559;5281;25;77382600;;;;;;;;;;;
504;Maharashtra;2015;4144;5096;268;11713;4751;7640;381;117199200;;;;;;;;;;;
505;Manipur;2015;46;94;0;84;2;39;0;2979600;;;;;;;;;;;
506;Meghalaya;2015;93;58;1;95;22;44;0;3095400;;;;;;;;;;;
507;Mizoram;2015;58;8;0;75;53;9;0;1144600;;;;;;;;;;;
508;Nagaland;2015;35;30;0;8;6;4;3;2064200;;;;;;;;;;;
509;Odisha;2015;2251;2587;356;6499;886;3605;35;42797600;;;;;;;;;;;
510;Punjab;2015;886;1253;85;1123;400;1583;69;28781400;;;;;;;;;;;
511;Rajasthan;2015;3644;4167;463;4813;649;14383;86;72841200;;;;;;;;;;;
512;Sikkim;2015;5;21;1;21;5;2;0;637400;;;;;;;;;;;
513;Tamil Nadu;2015;421;1335;65;1163;197;1900;491;73849000;;;;;;;;;;;
514;Telangana;2015;1105;648;262;3608;620;7329;252;36092204,4;;;;;;;;;;;
515;Tripura;2015;213;120;28;352;28;501;2;3832800;;;;;;;;;;;
516;Uttar Pradesh;2015;3025;10135;2335;7885;5925;8660;33;212250000;;;;;;;;;;;
517;Uttarakhand;2015;283;336;54;318;51;407;18;10611200;;;;;;;;;;;
518;West Bengal;2015;1199;3938;498;5069;674;20163;101;94015600;;;;;;;;;;;
519;Andaman & Nicobar;2015;36;21;0;57;23;14;0;384600;;;;;;;;;;;
520;Chandigarh;2015;72;165;5;76;22;126;0;1116200;;;;;;;;;;;
521;Dadra and Nagar Haveli and Daman and Diu;2015;13;22;1;12;3;5;0;364392;;;;;;;;;;;
522;Delhi;2015;2199;4301;122;5367;1150;3521;3;18301200;;;;;;;;;;;
523;Lakshadweep;2015;0;0;0;6;0;2;0;65600;;;;;;;;;;;
524;Puducherry;2015;3;14;1;33;10;4;1;1377600;;;;;;;;;;;
525;Andhra Pradesh;2016;994;626;193;4829;1305;6461;186;50512906;;;;;;;;;;;
526;Arunachal Pradesh;2016;92;85;1;109;4;50;0;1458500;;;;;;;;;;;
527;Assam;2016;1779;5339;157;3378;677;9321;65;33124500;;;;;;;;;;;
528;Bihar;2016;1008;5496;987;324;124;3794;50;113546450;;;;;;;;;;;
529;Chhattisgarh;2016;1626;1447;84;1770;244;622;17;27519000;;;;;;;;;;;
530;Goa;2016;61;69;2;143;41;23;3;1509000;;;;;;;;;;;
531;Gujarat;2016;982;2146;12;1224;473;3732;76;65114000;;;;;;;;;;;
532;Haryana;2016;1187;2697;260;1860;699;3313;59;27417000;;;;;;;;;;;
533;Himachal Pradesh;2016;252;201;3;410;114;214;7;7129500;;;;;;;;;;;
534;Jammu & Kashmir;2016;256;774;6;1235;253;342;1;12974500;;;;;;;;;;;
535;Jharkhand;2016;1109;693;278;667;373;1002;0;35729500;;;;;;;;;;;
536;Karnataka;2016;1655;1923;234;5260;703;2556;323;63970000;;;;;;;;;;;
537;Kerala;2016;1656;166;25;4029;1273;3455;113;34447500;;;;;;;;;;;
538;Madhya Pradesh;2016;4882;4904;629;8717;3128;6264;20;78571500;;;;;;;;;;;
539;Maharashtra;2016;4189;6170;248;11396;4057;7215;303;118405500;;;;;;;;;;;
540;Manipur;2016;55;95;0;65;15;29;0;3010500;;;;;;;;;;;
541;Meghalaya;2016;190;51;0;68;20;26;2;3127500;;;;;;;;;;;
542;Mizoram;2016;23;3;0;71;44;19;3;1156500;;;;;;;;;;;
543;Nagaland;2016;26;50;1;14;6;3;0;2085500;;;;;;;;;;;
544;Odisha;2016;1983;2291;397;8252;979;2781;38;43003500;;;;;;;;;;;
545;Punjab;2016;838;1208;80;1025;325;1568;64;29041000;;;;;;;;;;;
546;Rajasthan;2016;3656;4010;462;4839;483;13811;56;73914500;;;;;;;;;;;
547;Sikkim;2016;92;12;0;34;8;2;0;644000;;;;;;;;;;;
548;Tamil Nadu;2016;319;1043;58;854;115;1256;432;74274500;;;;;;;;;;;
549;Telangana;2016;1278;987;254;3767;859;7202;240;36364337;;;;;;;;;;;
550;Tripura;2016;207;119;19;214;52;430;0;3872500;;;;;;;;;;;
551;Uttar Pradesh;2016;4816;12994;2473;11335;9422;11156;50;215359500;;;;;;;;;;;
552;Uttarakhand;2016;336;377;57;344;35;392;11;10742500;;;;;;;;;;;
553;West Bengal;2016;1110;4494;535;4177;663;19302;87;94700500;;;;;;;;;;;
554;Andaman & Nicobar;2016;30;21;0;46;15;7;0;385500;;;;;;;;;;;
555;Chandigarh;2016;68;112;4;76;26;122;0;1131500;;;;;;;;;;;
556;Dadra and Nagar Haveli and Daman and Diu;2016;26;14;0;5;0;14;4;367056;;;;;;;;;;;
557;Delhi;2016;2155;3891;162;4165;796;3877;4;18679500;;;;;;;;;;;
558;Lakshadweep;2016;5;0;0;1;0;2;0;66000;;;;;;;;;;;
559;Puducherry;2016;6;11;0;43;13;15;0;1410000;;;;;;;;;;;
560;Andhra Pradesh;2017;988;712;152;5129;1998;7156;121;50700087;;;;;;;;;;;
561;Arunachal Pradesh;2017;59;74;0;97;5;56;2;1473400;;;;;;;;;;;
562;Assam;2017;1772;5554;171;3569;108;9782;40;33508200;;;;;;;;;;;
563;Bihar;2017;605;6182;1081;197;1;3776;24;115453760;;;;;;;;;;;
564;Chhattisgarh;2017;1908;1457;74;1899;144;582;16;27913800;;;;;;;;;;;
565;Goa;2017;76;61;1;134;31;21;1;1519000;;;;;;;;;;;
566;Gujarat;2017;477;1259;9;1058;17;3223;28;66048800;;;;;;;;;;;
567;Haryana;2017;1099;2949;245;2031;179;3326;57;27830200;;;;;;;;;;;
568;Himachal Pradesh;2017;249;242;3;397;52;191;8;7182400;;;;;;;;;;;
569;Jammu & Kashmir;2017;296;931;8;1417;41;377;0;13061200;;;;;;;;;;;
570;Jharkhand;2017;914;1033;248;748;104;998;4;36277800;;;;;;;;;;;
571;Karnataka;2017;546;967;206;5763;212;2332;236;64545000;;;;;;;;;;;
572;Kerala;2017;2003;184;12;4413;421;2856;21;34655800;;;;;;;;;;;
573;Madhya Pradesh;2017;5562;5200;632;9252;277;6099;27;79760400;;;;;;;;;;;
574;Maharashtra;2017;1933;6248;233;9392;919;6584;248;119611800;;;;;;;;;;;
575;Manipur;2017;40;70;0;66;8;19;0;3041400;;;;;;;;;;;
576;Meghalaya;2017;119;54;1;88;21;20;0;3159600;;;;;;;;;;;
577;Mizoram;2017;25;0;0;64;2;20;0;1168400;;;;;;;;;;;
578;Nagaland;2017;10;7;0;12;0;3;3;2106800;;;;;;;;;;;
579;Odisha;2017;2070;2773;326;9132;490;2525;21;43209400;;;;;;;;;;;
580;Punjab;2017;530;1099;68;933;22;1199;7;29300600;;;;;;;;;;;
581;Rajasthan;2017;3305;3838;457;4883;24;11508;86;74987800;;;;;;;;;;;
582;Sikkim;2017;17;27;0;21;7;5;0;650600;;;;;;;;;;;
583;Tamil Nadu;2017;283;859;48;744;9;984;403;74700000;;;;;;;;;;;
584;Telangana;2017;552;934;251;4409;1160;7838;79;36636469,6;;;;;;;;;;;
585;Tripura;2017;95;90;33;225;9;348;0;3912200;;;;;;;;;;;
586;Uttar Pradesh;2017;4246;14993;2524;12607;91;12653;25;218469000;;;;;;;;;;;
587;Uttarakhand;2017;374;371;60;435;4;394;6;10873800;;;;;;;;;;;
588;West Bengal;2017;1084;4232;499;3832;448;16800;67;95385400;;;;;;;;;;;
589;Andaman & Nicobar;2017;13;3;1;38;11;4;0;386400;;;;;;;;;;;
590;Chandigarh;2017;65;138;1;100;12;121;0;1146800;;;;;;;;;;;
591;Dadra and Nagar Haveli and Daman and Diu;2017;8;0;0;9;1;9;0;369720;;;;;;;;;;;
592;Delhi;2017;1229;3783;120;2874;619;2735;6;19057800;;;;;;;;;;;
593;Lakshadweep;2017;0;0;0;0;0;2;0;66400;;;;;;;;;;;
594;Puducherry;2017;7;9;2;33;4;5;0;1442400;;;;;;;;;;;
595;Andhra Pradesh;2018;971;697;140;4445;1802;6831;152;50887268;;;;;;;;;;;
596;Arunachal Pradesh;2018;67;87;0;103;12;60;0;1488300;;;;;;;;;;;
597;Assam;2018;1648;6401;173;4180;171;11136;37;33891900;;;;;;;;;;;
598;Bihar;2018;651;7951;1107;262;30;2539;49;117361070;;;;;;;;;;;
599;Chhattisgarh;2018;2091;1842;79;1854;184;503;15;28308600;;;;;;;;;;;
600;Goa;2018;61;78;0;125;26;9;7;1529000;;;;;;;;;;;
601;Gujarat;2018;553;1024;9;1208;12;2923;34;66983600;;;;;;;;;;;
602;Haryana;2018;1296;3419;216;2671;192;4154;43;28243400;;;;;;;;;;;
603;Himachal Pradesh;2018;344;341;4;513;78;183;10;7235300;;;;;;;;;;;
604;Jammu & Kashmir;2018;320;1061;8;1597;25;325;1;13147900;;;;;;;;;;;
605;Jharkhand;2018;1090;1018;252;1378;37;1032;9;36826100;;;;;;;;;;;
606;Karnataka;2018;492;1240;200;5204;138;2053;179;65120000;;;;;;;;;;;
607;Kerala;2018;1945;173;17;4544;461;2046;4;34864100;;;;;;;;;;;
608;Madhya Pradesh;2018;5433;6126;547;8790;270;4159;40;80949300;;;;;;;;;;;
609;Maharashtra;2018;2142;6825;200;10835;1074;6862;200;120818100;;;;;;;;;;;
610;Manipur;2018;52;85;0;56;8;14;0;3072300;;;;;;;;;;;
611;Meghalaya;2018;87;58;1;95;16;18;2;3191700;;;;;;;;;;;
612;Mizoram;2018;50;1;0;67;1;6;0;1180300;;;;;;;;;;;
613;Nagaland;2018;10;35;0;10;5;3;1;2128100;;;;;;;;;;;
614;Odisha;2018;918;2611;372;9973;506;1984;10;43415300;;;;;;;;;;;
615;Punjab;2018;831;1266;67;956;19;1470;6;29560200;;;;;;;;;;;
616;Rajasthan;2018;4335;4247;404;5249;34;12250;62;76061100;;;;;;;;;;;
617;Sikkim;2018;16;7;1;23;5;1;0;657200;;;;;;;;;;;
618;Tamil Nadu;2018;331;896;55;814;14;789;386;75125500;;;;;;;;;;;
619;Telangana;2018;606;1121;186;4567;878;6286;81;36908602,2;;;;;;;;;;;
620;Tripura;2018;97;139;18;165;6;303;2;3951900;;;;;;;;;;;
621;Uttar Pradesh;2018;3946;15381;2444;12555;17;14233;27;221578500;;;;;;;;;;;
622;Uttarakhand;2018;561;502;63;548;8;622;0;11005100;;;;;;;;;;;
623;West Bengal;2018;1069;4249;444;3399;391;16951;97;96070300;;;;;;;;;;;
624;Andaman & Nicobar;2018;30;2;0;35;4;4;0;387300;;;;;;;;;;;
625;Chandigarh;2018;86;139;6;100;3;93;0;1162100;;;;;;;;;;;
626;Dadra and Nagar Haveli and Daman and Diu;2018;10;0;0;11;3;5;0;372384;;;;;;;;;;;
627;Delhi;2018;1215;3715;153;2705;552;3416;1;19436100;;;;;;;;;;;
628;Lakshadweep;2018;2;0;0;0;1;1;0;66800;;;;;;;;;;;
629;Puducherry;2018;0;14;0;60;9;8;4;1474800;;;;;;;;;;;
630;Andhra Pradesh;2019;1086;589;112;4444;1892;7851;88;51074450;;;;;;;;;;;
631;Arunachal Pradesh;2019;63;68;1;80;6;54;0;1503200;;;;;;;;;;;
632;Assam;2019;1773;6989;156;4619;385;11943;12;34275600;;;;;;;;;;;
633;Bihar;2019;730;9025;1120;312;11;2397;40;119268380;;;;;;;;;;;
634;Chhattisgarh;2019;1036;2033;76;1316;232;732;12;28703400;;;;;;;;;;;
635;Goa;2019;72;52;1;119;37;9;1;1539000;;;;;;;;;;;
636;Gujarat;2019;528;922;9;1048;16;3619;24;67918400;;;;;;;;;;;
637;Haryana;2019;1480;2803;248;2581;173;4867;28;28656600;;;;;;;;;;;
638;Himachal Pradesh;2019;359;337;4;498;72;228;10;7288200;;;;;;;;;;;
639;Jammu & Kashmir;2019;223;893;8;1440;15;347;0;13234600;;;;;;;;;;;
640;Jharkhand;2019;1416;1008;299;1646;7;1426;4;37374400;;;;;;;;;;;
641;Karnataka;2019;505;1056;194;4937;107;2472;214;65695000;;;;;;;;;;;
642;Kerala;2019;2023;227;8;4507;435;2970;10;35072400;;;;;;;;;;;
